slug	headers_all	authors_all	created	translator	lang_orig	date_trans	sphere	words	publisher	series	edition	via_lang	rights_class	pairs	commentary_excluded	sa_inline_ana	sa_morph_units_covered	doubt
01_rigveda	Ригведа. Мандала I		-1350	Т. Я. Елизаренкова	san	1989	художественная	48650	Наука	Литературные памятники	Ригведа. Мандалы I–IV / Изд. подгот. Т. Я. Елизаренкова. М.: Наука, 1989		in-copyright	1976	2194	0	0	
02_rigveda	Ригведа. Мандала II		-1350	Т. Я. Елизаренкова	san	1989	художественная	11642	Наука	Литературные памятники	Ригведа. Мандалы I–IV / Изд. подгот. Т. Я. Елизаренкова. М.: Наука, 1989		in-copyright	429	449	0	0	
03_rigveda	Ригведа. Мандала III		-1350	Т. Я. Елизаренкова	san	1989	художественная	15285	Наука	Литературные памятники	Ригведа. Мандалы I–IV / Изд. подгот. Т. Я. Елизаренкова. М.: Наука, 1989		in-copyright	617	602	0	0	
04_rigveda	Ригведа. Мандала IV		-1350	Т. Я. Елизаренкова	san	1989	художественная	14398	Наука	Литературные памятники	Ригведа. Мандалы I–IV / Изд. подгот. Т. Я. Елизаренкова. М.: Наука, 1989		in-copyright	589	645	0	0	
05_rigveda	Ригведа. Мандала V		-1350	Т. Я. Елизаренкова	san	1995	художественная	17762	Наука	Литературные памятники	Ригведа. Мандалы V–VIII / Изд. подгот. Т. Я. Елизаренкова. М.: Наука, 1995 (2-е изд. 1999; meta year 1999 = 2-е изд.)		in-copyright	725	878	0	0	meta says 1999 (2nd ed.); first edition 1995 used for date_trans
06_rigveda	Ригведа. Мандала VI		-1350	Т. Я. Елизаренкова	san	1995	художественная	19047	Наука	Литературные памятники	Ригведа. Мандалы V–VIII / Изд. подгот. Т. Я. Елизаренкова. М.: Наука, 1995 (2-е изд. 1999; meta year 1999 = 2-е изд.)		in-copyright	765	744	0	0	meta says 1999 (2nd ed.); first edition 1995 used for date_trans
07_rigveda	Ригведа. Мандала VII		-1350	Т. Я. Елизаренкова	san	1995	художественная	21175	Наука	Литературные памятники	Ригведа. Мандалы V–VIII / Изд. подгот. Т. Я. Елизаренкова. М.: Наука, 1995 (2-е изд. 1999; meta year 1999 = 2-е изд.)		in-copyright	841	931	0	0	meta says 1999 (2nd ed.); first edition 1995 used for date_trans
08_rigveda	Ригведа. Мандала VIII		-1350	Т. Я. Елизаренкова	san	1995	художественная	32774	Наука	Литературные памятники	Ригведа. Мандалы V–VIII / Изд. подгот. Т. Я. Елизаренкова. М.: Наука, 1995 (2-е изд. 1999; meta year 1999 = 2-е изд.)		in-copyright	1716	1240	0	0	meta says 1999 (2nd ed.); first edition 1995 used for date_trans
09_rigveda	Ригведа. Мандала IX		-1350	Т. Я. Елизаренкова	san	1999	художественная	20978	Наука	Литературные памятники	Ригведа. Мандалы IX–X / Изд. подгот. Т. Я. Елизаренкова. М.: Наука, 1999		in-copyright	1108	1008	0	0	
10_rigveda	Ригведа. Мандала X		-1350	Т. Я. Елизаренкова	san	1999	художественная	43753	Наука	Литературные памятники	Ригведа. Мандалы IX–X / Изд. подгот. Т. Я. Елизаренкова. М.: Наука, 1999		in-copyright	1751	1992	0	0	
