slug	role	orig_year	year	credit	rights	passages	clean_pairs	ru_segments	mean_ru_tokens_per_segment	ttr	guiraud_r	loan_retention_rate
bhagavadgita-1788	translation	1788	1914	Переводчик: А.А. Петров.	public domain (pre-1929 edition; translator/author long deceased)	697	697	697	26.82	0.242	33.08	0.1392
bhagavadgita-1909	translation	1909	1909	Переводъ въ стихахъ А. П. Казначеевой	public domain (pre-1929 edition; translator/author long deceased)	691	691	691	23.16	0.2627	33.23	0.1114
bhagavadgita-1914	translation	1914	1914	А.А. Каменской и И.В. де Манциарли	public domain (pre-1929 edition; translator/author long deceased)	701	701	701	19.85	0.3087	36.41	0.2197
bhagavadgita-smirnov	translation	1977	1977	Б.Л.Смирнов	in-copyright academic edition (named translator/editor, 20th-21st c.) — corpus rights stay grey per project ruling; no redistribution	701	700	701	35.98	0.2027	32.19	0.3238
bhagavadgita-sementsov	translation	1999	1999	В.С.Семенцов	in-copyright academic edition (named translator/editor, 20th-21st c.) — corpus rights stay grey per project ruling; no redistribution	696	696	696	18.66	0.3099	35.32	0.3534
bhagavadgita-erman	translation	2009	2009	В.Г.Эрман	in-copyright academic edition (named translator/editor, 20th-21st c.) — corpus rights stay grey per project ruling; no redistribution	700	700	700	19.41	0.3171	36.96	0.1129
bhagavadgita-burba	translation	2009	2009	Д. Бурба	in-copyright academic edition (named translator/editor, 20th-21st c.) — corpus rights stay grey per project ruling; no redistribution	719	719	719	72.56	0.1205	27.53	0.3894
bhagavadgita-prabhupada	translation	1984	1984	Шри Шримад А.Ч. Бхактиведанта Свами Прабхупада	in-copyright academic edition (named translator/editor, 20th-21st c.) — corpus rights stay grey per project ruling; no redistribution	657	657	657	50.86	0.1994	36.44	0.3029
bhagavadgita-radha	translation	2016	2016	Р.Т.Блиндерман	in-copyright academic edition (named translator/editor, 20th-21st c.) — corpus rights stay grey per project ruling; no redistribution	647	647	647	274.22	0.1011	42.58	0.7604
bhagavadgita-sharma	translation	2015	2015	Шайлендра Шарма	in-copyright academic edition (named translator/editor, 20th-21st c.) — corpus rights stay grey per project ruling; no redistribution	660	660	660	67.1	0.1762	37.07	0.6258
bhagavadgity	translation	2026	2026	Институт исследования санскрита	in-copyright academic edition (named translator/editor, 20th-21st c.) — corpus rights stay grey per project ruling; no redistribution	701	701	701	276.3	0.1142	50.27	0.5963
ramanuja_gitabhashya	commentary	2021	2021	В.С. Семенцова,	in-copyright academic edition (named translator/editor, 20th-21st c.) — corpus rights stay grey per project ruling; no redistribution	702	702	702	115.14	0.1467	41.71	0.5983
gitartha-samgraha_yamunacharya	commentary	2021	2021	Р.В. Псху	in-copyright academic edition (named translator/editor, 20th-21st c.) — corpus rights stay grey per project ruling; no redistribution	32	32	32	22.16	0.5515	14.68	0.8438
gitarthasamgraha-abhinavagupta	commentary	2008	2008	О.Н. Ерченков	in-copyright academic edition (named translator/editor, 20th-21st c.) — corpus rights stay grey per project ruling; no redistribution	748	748	748	41.32	0.2386	41.95	0.4746
