book	hymn	verse	dcs_chapter_id	match	coverage	dcs_sent_ids	dcs_text	samudra_ru
1	1	1	10439	content	0.786	633185_1	ye triṣaptāḥ pariyanti viśvā rūpāṇi bibhrataḥ vācaspatiḥ balā teṣām tanvaḥ adya dadhātu me	Те трижды семь, что вокруг движутся, Неся все формы, — Пусть Повелитель Речи силы их, (Их) суть дарует мне сегодня!
1	1	2	10439	content	0.667	633186_1,633187_1,633187_2	punar ehi vācaspate devena manasā saha / vasoḥ pate ni ramaya / mayi eva astu mayi śrutam	Снова приди, о Повелитель Речи, Вместе с божественной мыслью! О Повелитель Добра, сохрани (это)! Во мне пусть будет (это), во мне — сокровенное!
1	1	3	10439	content	0.5	633188_1,633189_1,633189_2	iha eva abhi vi tanu ubhe ārtnī iva jyayā / vācaspatiḥ ni yacchatu / mayi eva astu mayi śrutam	Вот здесь стяни, Как два конца лука — тетивой! Пусть Повелитель Речи удержит! Во мне пусть будет (это), во мне — сокровенное!
1	1	4	10439	content	0.615	633190_2,633191_1,633191_2	upa asmān vācaspatiḥ hvayatām / sam śrutena gamemahi / mā śrutena vi rādhiṣi	Призван Повелитель Речи. Нас пусть призовет Повелитель Речи! Да соединимся мы здесь с сокровенным! Да не расстанусь я с сокровенным!
1	2	1	10440	content	0.636	633192_1,633193_1	vidma śarasya pitaram parjanyam bhūri dhāyasam / vidma u su asya mātaram pṛthivīm bhūri varpasam	Знаем мы отца тростника, Парджанью, обильно насыщающего. Знаем хорошо и его мать, Землю, обильную обликами.
1	2	2	10440	content	0.538	633194_1,633194_2,633195_1	jyāke pari naḥ nama / aśmānam tanvam kṛdhi / vīḍuḥ varīyaḥ arātīḥ apa dveṣāṃsi ā kṛdhi	О тетива, отклонись от нас, Камнем сделай тело! Крепкая, убери подальше Скупцов (и) ненавистников!
1	2	3	10440	content	0.692	633197_1	vṛkṣam yat gāvaḥ pariṣasvajānāḥ anusphuram śaram arcanti ṛbhum śarum asmat yāvaya didyum indra	Когда ремни, обнимая дерево, Воспевают выпущенную умелую стрелу, Отведи от нас стрелу (и) выстрел, о Индра!
1	2	4	10440	content	0.643	633199_1	yathā dyām ca pṛthivīm ca antar tiṣṭhati tejanam evā rogam ca āsrāvam ca antar tiṣṭhatu muñjaḥ id	Как стоит бамбук(?) Между небом и землей, Так пусть встанет эта (трава) мунджа Между болезнью и истечением!
1	3	1	10441	content	1.0	633200,633201	vidmā śarasya pitaraṃ parjanyaṃ śatavṛṣṇyaṃ / tenā te tanve śaṃ karaṃ pṛthivyāṃ te niṣecanaṃ bahiṣ ṭe astu bāl iti	Мы знаем отца тростника, Парджанью стомужественного. Этим я сотворю благо твоему телу. На земле да будет твое излияние, Наружу из тебя — «пссс!»
1	3	2	10441	content	1.0	633202,633203	vidmā śarasya pitaraṃ mitraṃ śatavṛṣṇyaṃ / tenā te tanve śaṃ karaṃ pṛthivyāṃ te niṣecanaṃ bahiṣ ṭe astu bāl iti	Мы знаем отца тростника. Митру стомужественного. Этим я сотворю благо твоему телу. На земле да будет твое излияние, Наружу из тебя — «пссс!»
1	3	3	10441	content	1.0	633204,633205	vidmā śarasya pitaraṃ varuṇaṃ śatavṛṣṇyaṃ / tenā te tanve śaṃ karaṃ pṛthivyāṃ te niṣecanaṃ bahiṣ ṭe astu bāl iti	Мы знаем отца тростника, Варуну стомужественного. Этим я сотворю благо твоему телу. На земле да будет твое излияние, Наружу из тебя — «пссс!»
1	3	4	10441	content	1.0	633206,633207	vidmā śarasya pitaraṃ candraṃ śatavṛṣṇyaṃ / tenā te tanve śaṃ karaṃ pṛthivyāṃ te niṣecanaṃ bahiṣ ṭe astu bāl iti	Мы знаем отца тростника. Месяца стомужественного. Этим я сотворю благо твоему телу. На земле да будет твое излияние, Наружу из тебя — «пссс!»
1	3	5	10441	content	1.0	633208,633209	vidmā śarasya pitaraṃ sūryaṃ śatavṛṣṇyaṃ / tenā te tanve śaṃ karaṃ pṛthivyāṃ te niṣecanaṃ bahiṣ ṭe astu bāl iti	Мы знаем отца тростника, Солнце стомужественное. Этим я сотворю благо твоему телу. На земле да будет твое излияние, Наружу из тебя — «пссс!»
1	3	6	10441	content	1.0	633210,633211	yad āntreṣu gavīnyor yad vastāv adhi saṃśritam / evā te mūtraṃ mucyatāṃ bahir bāl iti sarvakam	(Та), что скопилась во внутренностях, В чреслах (?), в мочевом пузыре, — Вот так пусть освободится твоя моча, Наружу — «пссс!» — вся!
1	3	7	10441	content	1.0	633212,633213	pra te bhinadmi mehanaṃ vartraṃ veśantyā iva / evā te mūtraṃ mucyatāṃ bahir bāl iti sarvakam	Я пробиваю твой мочевой канал, Как плотину у пруда. Вот так пусть освободится твоя моча, Наружу — «пссс!» — вся!
1	3	8	10441	content	1.0	633214,633215	viṣitaṃ te vastibilaṃ samudrasyodadher iva / evā te mūtraṃ mucyatāṃ bahir bāl iti sarvakam	Открыто отверстие твоего мочевого пузыря, Как у вместилища воды океана. Вот так пусть освободится твоя моча, Наружу — «пссс!» — вся!
1	3	9	10441	content	1.0	633216,633217	yatheṣukā parāpatad avasṛṣṭādhi dhanvanaḥ / evā te mūtraṃ mucyatāṃ bahir bāl iti sarvakam	Как стрела улетает, Выпущенная из лука, Вот так пусть освободится твоя моча, Наружу — «пссс!» — вся!
1	4	1	10442	unmatched	0.375	633218_1	ambayaḥ yanti adhvabhiḥ jāmayaḥ adhvarīyatām pṛñcatīḥ madhunā payaḥ	Матери движутся (своими) путями, Сестры совершающих обряд, Смешивая молоко (свое) с медом.
1	4	2	10442	content	0.5	633221_1	amūḥ yāḥ upa sūrye yābhiḥ vā sūryaḥ saha tāḥ naḥ hinvantu adhvaram	Те, кто возле солнца Или с кем солнце вместе, Пусть они подгоняют наш обряд.
1	4	3	10442	content	0.818	633222_1,633223_1	apaḥ devīḥ upa hvaye yatra gāvaḥ pibanti naḥ / sindhubhyaḥ kartvam haviḥ	Я призываю божественные воды, Где пьют наши коровы. Рекам надо сделать жертвенное возлияние!
1	4	4	10442	content	0.643	633224_1,633224_2,633225_1	apsu antar amṛtam / apsu bheṣajam / apām uta praśastibhiḥ aśvāḥ bhavatha vājinaḥ gāvaḥ bhavatha vājinīḥ	В водах — амрита, В водах — целебное средство. И с прославлением вод вы становитесь (как) могучие кони, Вы становитесь (как) могучие коровы.
1	5	1	10443	content	0.636	633226_1,633226_2	āpaḥ hi ṣṭhā mayaḥ bhuvaḥ / tāḥ naḥ ūrje dadhātana mahe raṇāya cakṣase	О воды, ведь вы благодатные. Поместите нас в подкрепляющую силу, Чтобы (мы) увидели великую радость!
1	5	2	10443	content	0.5	633228_1	yaḥ vaḥ śivatamaḥ rasaḥ tasya bhājayata iha naḥ uśatīḥ iva mātaraḥ	Какая у вас самая благодатная влага, Наделите нас ею здесь, Как любящие матери (— своим молоком)!
1	5	3	10443	content	0.727	633230_1	tasmai aram gamāma vaḥ yasya kṣayāya jinvatha āpaḥ janayatha ca naḥ	Мы хотим прийтись вам ко двору ради того, К обладанию чем вы нас поощряете, О воды, и порождаете.
1	5	4	10443	content	0.571	633233_1	īśānāḥ vāryāṇām kṣayantīḥ carṣaṇīnām apaḥ yācāmi bheṣajam	Распоряжающиеся желанными благами, Повелевающие народами Воды прощу я об (их) целебном средстве!
1	6	1	10444	content	1.0	633234,633235	śaṃ no devīr abhiṣṭaya āpo bhavantu pītaye / śaṃ yor abhi sravantu naḥ	На благо (пусть будут) нам богини (и) в поддержку, Воды пусть будут нам для питья! Благо и счастье пусть струят они нам!
1	6	2	10444	content	1.0	633236,633237	apsu me somo abravīd antar viśvāni bheṣajā / agniṃ ca viśvaśaṃbhuvam	В водах — сказал мне Сома — Внутри (есть) все целебные средства И Агни всеблагой.
1	6	3	10444	content	1.0	633238,633239	āpaḥ pṛṇīta bheṣajaṃ varūthaṃ tanve mama / jyok ca sūryaṃ dṛśe	О воды, пожертвуйте щедро целебное средство Как защиту для тела моего, И чтоб я долго видел солнце!
1	6	4	10444	content	1.0	633240,633241,633242	śaṃ na āpo dhanvanyāḥ śam u santv anūpyāḥ / śaṃ naḥ khanitrimā āpaḥ śam u yāḥ kumbha ābhṛtāḥ / śivā naḥ santu vārṣikīḥ	На благо нам воды пустынь, На благо пусть будут и воды болот! На благо нам воды, выступившие, где копают, На благо (и) те, что принесены в кувшине!
1	7	1	10445	content	1.0	633243,633244	stuvānam agna ā vaha yātudhānaṃ kimīdinam / tvaṃ hi deva vandito hantā dasyor babhūvitha	Привези сюда, о Агни, превозносящего себя Колдуна, кимидина! Ведь ты, о бог, когда тебя прославят, Становишься убийцей дасью.
1	7	2	10445	content	1.0	633245,633246	ājyasya parameṣṭhin jātavedas tanūvaśin / agne taulasya prāśāna yātudhānān vi lāpaya	О самый высший, Джатаведас, Повелевающий собой, о Агни! Вкушая жертвенное масло (и) масло сезама, Заставь взвыть колдунов!
1	7	3	10445	content	1.0	633247,633248	vi lapantu yātudhānā attriṇo ye kimīdinaḥ / athedam agne no havir indraś ca prati haryatam	Пусть взвоют колдуны И те пожирающие кимидины! Затем, о Агни и Индра, Примите это наше жертвенное возлияние!
1	7	4	10445	content	1.0	633249,633250	agniḥ pūrva ā rabhatāṃ prendro nudatu bāhumān / bravītu sarvo yātumān ayam asmīty etya	Пусть Агни схватит первым! Пусть Индра, рукастый, отшвырнет! Пусть каждый колдун приходит И провозглашает так: «Вот он — я!»
1	7	5	10445	content	1.0	633251,633252	paśyāma te vīryaṃ jātavedaḥ pra ṇo brūhi yātudhānān nṛcakṣaḥ / tvayā sarve paritaptāḥ purastāt ta ā yantu prabruvāṇā upedam	Да увидим мы твою отвагу, о Джатаведас! Объяви нам колдунов, о ты, со взглядом героя! Пусть все они, опаленные тобою спереди, Подойдут сюда, объявляя себя!
1	7	6	10445	content	1.0	633253,633254	ā rabhasva jātavedo 'smākārthāya jajñiṣe / dūto no agne bhūtvā yātudhānān vi lāpaya	Хватай, о Джатаведас! Ты родился для нашей пользы. Став нашим вестником, о Агни, Заставь взвыть колдунов!
1	7	7	10445	content	1.0	633255,633256	tvam agne yātudhānān upabaddhāṁ ihā vaha / athaiṣām indro vajreṇāpi śīrṣāṇi vṛścatu	Ты, о Агни, привези сюда Связанных колдунов! Затем Индра пусть размозжит Им головы дубиной грома!
