bad_token	good_token	field	canonical_id	file
saMcukoсa	saMcukoca	slp1	05_ramayana-sundarakanda:1.35#sa	05_ramayana-sundarakanda.jsonl
saṃcukoсa	saṃcukoca	html	05_ramayana-sundarakanda:1.35#sa	05_ramayana-sundarakanda.jsonl
saṃcukoсa	saṃcukoca	text	05_ramayana-sundarakanda:1.35#sa	05_ramayana-sundarakanda.jsonl
tad-vipAkа-аnuguRAnAm	tad-vipAka-anuguRAnAm	slp1	yoga-sutry:4.8#sa	yoga-sutry.jsonl
tad-vipAkа-аnuguRAnAm	tad-vipAka-anuguRAnAm	slp1	yoga-sutry_sharma:4.8#sa	yoga-sutry_sharma.jsonl
tad-vipAkа-аnuguRAnAm	tad-vipAka-anuguRAnAm	slp1	yoga-sutry_zagumennov:4.8#sa	yoga-sutry_zagumennov.jsonl
tad-vipākа-аnuguṇānām	tad-vipāka-anuguṇānām	html	yoga-sutry:4.8#sa	yoga-sutry.jsonl
tad-vipākа-аnuguṇānām	tad-vipāka-anuguṇānām	html	yoga-sutry_sharma:4.8#sa	yoga-sutry_sharma.jsonl
tad-vipākа-аnuguṇānām	tad-vipāka-anuguṇānām	html	yoga-sutry_zagumennov:4.8#sa	yoga-sutry_zagumennov.jsonl
tad-vipākа-аnuguṇānām	tad-vipāka-anuguṇānām	text	yoga-sutry:4.8#sa	yoga-sutry.jsonl
tad-vipākа-аnuguṇānām	tad-vipāka-anuguṇānām	text	yoga-sutry_sharma:4.8#sa	yoga-sutry_sharma.jsonl
tad-vipākа-аnuguṇānām	tad-vipāka-anuguṇānām	text	yoga-sutry_zagumennov:4.8#sa	yoga-sutry_zagumennov.jsonl
сalAgramukuwaprAMSuS	calAgramukuwaprAMSuS	slp1	05_ramayana-sundarakanda:22.25#sa	05_ramayana-sundarakanda.jsonl
сalāgramukuṭaprāṃśuś	calāgramukuṭaprāṃśuś	html	05_ramayana-sundarakanda:22.25#sa	05_ramayana-sundarakanda.jsonl
сalāgramukuṭaprāṃśuś	calāgramukuṭaprāṃśuś	text	05_ramayana-sundarakanda:22.25#sa	05_ramayana-sundarakanda.jsonl
сekzvAkuvaMSasya	cekzvAkuvaMSasya	slp1	05_ramayana-sundarakanda:31.4#sa	05_ramayana-sundarakanda.jsonl
сekṣvākuvaṃśasya	cekṣvākuvaṃśasya	html	05_ramayana-sundarakanda:31.4#sa	05_ramayana-sundarakanda.jsonl
сekṣvākuvaṃśasya	cekṣvākuvaṃśasya	text	05_ramayana-sundarakanda:31.4#sa	05_ramayana-sundarakanda.jsonl
сhIlavAn	chIlavAn	slp1	05_ramayana-sundarakanda:37.12#sa	05_ramayana-sundarakanda.jsonl
сhīlavān	chīlavān	html	05_ramayana-sundarakanda:37.12#sa	05_ramayana-sundarakanda.jsonl
сhīlavān	chīlavān	text	05_ramayana-sundarakanda:37.12#sa	05_ramayana-sundarakanda.jsonl
